Customer_ID,Age,Gender,Education_Level,Region,Monthly_Income,Account_Balance,Credit_Score,Days_in_Arrears_12M,Requested_Loan_Amount
97,40,Female,University,North,2207.73,2934.19,607.0,11.0,4979.27
98,74,Female,Primary School,South,1494.19,4528.82,520.0,11.0,5999.63
99,57,Female,Secondary School,Central,1632.58,3354.27,529.0,6.0,2366.09
100,38,Male,Secondary School,West,1209.52,1883.66,540.0,3.0,5335.61
101,33,Male,University,South,2370.44,5477.28,596.0,9.0,9027.39
102,62,Female,Secondary School,Central,1143.79,1262.37,549.0,9.0,4640.58
103,35,Male,Technical,Central,1428.76,910.34,579.0,6.0,5188.0
104,64,Male,Primary School,Central,438.58,266.86,,13.0,
105,70,Female,Secondary School,South,1088.68,2535.57,,8.0,
106,41,Male,University,Central,,8051.12,630.0,7.0,13401.56
107,43,Male,Primary School,West,1596.73,2303.85,620.0,7.0,4276.76
108,42,Female,Technical,Central,2502.81,3573.3,,6.0,6568.82
109,62,Female,Secondary School,Central,,3427.29,602.0,,5539.53
110,58,Male,Secondary School,North,1244.79,2231.51,498.0,8.0,2468.4
111,46,Female,Technical,South,1027.39,3356.32,503.0,8.0,3013.03
112,32,Female,Technical,North,1530.85,2958.85,527.0,7.0,3435.35
113,62,Male,Technical,Central,464.85,2527.17,347.0,3.0,
114,18,Male,Technical,South,2869.06,,607.0,8.0,7106.11
115,42,Female,Secondary School,Central,,3701.75,572.0,7.0,5125.96
116,24,Female,Secondary School,East,2126.67,2656.73,729.0,8.0,9197.78
117,26,Female,Primary School,South,922.99,1345.89,430.0,,1249.37
118,41,Female,University,West,1163.51,2299.27,512.0,10.0,2419.28
119,18,Female,University,South,2485.76,2379.52,,,7193.33
120,61,Male,Secondary School,South,,2495.82,605.0,7.0,4998.19
121,25,Female,Secondary School,Central,1363.66,,517.0,8.0,5890.7
122,41,Male,Primary School,Central,1362.58,1825.17,514.0,7.0,4833.31
123,28,Female,Postgraduate,North,2590.03,6352.7,650.0,8.0,9367.39
124,68,Female,University,South,2761.5,5367.54,669.0,6.0,11705.18
125,34,Male,Secondary School,Central,1824.29,3118.56,609.0,9.0,2714.27
126,25,Male,Secondary School,South,3083.46,4079.15,669.0,,8938.0
127,52,Male,Secondary School,Central,2160.35,3464.66,,7.0,6895.4
128,52,Male,Technical,South,1051.65,3169.38,535.0,8.0,2155.0
129,50,Female,Technical,Central,1535.35,2276.65,562.0,3.0,3343.55
130,22,Male,Secondary School,Central,,1447.52,399.0,7.0,5241.22
131,59,Female,University,West,4600.03,7239.37,725.0,7.0,14557.68
132,56,Male,Secondary School,East,1237.15,2360.06,511.0,9.0,3035.9
133,75,Female,Primary School,Central,1135.74,2300.24,563.0,6.0,3033.16
134,58,Female,Technical,South,1766.81,3328.19,568.0,12.0,4570.37
135,45,Female,Secondary School,Central,1809.94,2315.69,,5.0,6165.53
136,24,Male,University,East,1356.2,2849.74,550.0,6.0,2665.17
137,26,Female,Secondary School,East,1446.63,2275.01,498.0,7.0,
138,25,Male,Secondary School,Central,2213.16,4173.86,651.0,2.0,6276.84
139,29,Male,Technical,,1513.73,3357.16,515.0,14.0,3306.62
140,51,Male,Technical,North,4174.23,7850.01,650.0,5.0,13107.05
141,50,Male,Secondary School,East,1024.17,2366.54,542.0,3.0,2359.07
142,65,Female,Postgraduate,Central,2750.83,5503.77,646.0,3.0,9342.71
143,72,Male,Secondary School,Central,2252.66,4753.64,702.0,5.0,7001.95
144,40,Female,Secondary School,West,1517.28,3511.29,506.0,8.0,4065.56
145,41,Female,University,Central,2162.43,4852.93,627.0,5.0,4803.14
146,54,Male,Primary School,West,742.8,1684.8,482.0,8.0,4878.7
147,52,Female,Secondary School,North,1177.33,2792.43,571.0,9.0,
148,61,Male,Technical,Central,4259.17,7803.5,751.0,6.0,18588.4
149,57,Male,Primary School,East,1427.45,,578.0,3.0,6451.12
150,39,Male,Postgraduate,North,4254.88,7292.92,707.0,4.0,15299.63
151,44,Female,Secondary School,,1138.22,640.13,514.0,6.0,1730.17
152,52,Female,Technical,North,2005.0,4769.81,594.0,14.0,9069.45
153,18,Male,Primary School,West,1010.37,1973.8,526.0,9.0,3247.53
154,52,Male,Secondary School,East,873.23,1707.4,506.0,7.0,2881.86
155,54,Female,Technical,Central,1325.03,3104.09,560.0,7.0,3382.03
156,64,Male,Technical,North,1487.4,2146.57,553.0,8.0,
157,31,Female,University,North,6031.69,10771.6,666.0,5.0,19334.11
158,20,Female,Secondary School,South,3332.19,5530.59,625.0,8.0,8560.93
159,18,Male,Technical,West,807.98,1304.52,441.0,14.0,2019.92
160,22,Female,Secondary School,South,994.15,,499.0,10.0,3448.4
161,43,Male,Technical,Central,1662.81,2549.86,609.0,,5908.65
162,72,Female,Technical,South,1930.58,3784.97,591.0,6.0,4715.49
163,31,Female,Primary School,West,1107.23,503.71,471.0,10.0,3128.03
164,56,Male,Technical,South,4255.43,8713.95,619.0,7.0,14898.36
165,44,Male,Primary School,West,974.75,1185.11,,6.0,
166,26,Female,Secondary School,North,3291.14,6312.92,612.0,6.0,11320.37
167,32,Female,Technical,East,2721.87,5333.76,661.0,4.0,8368.07
168,32,Male,Primary School,South,1144.36,1822.17,539.0,8.0,1052.63
169,43,Female,University,South,1800.48,3588.24,544.0,7.0,2601.77
170,59,Male,Secondary School,South,1152.92,1208.94,,5.0,
171,30,Male,University,North,5620.35,,717.0,,21871.95
172,68,Female,Primary School,North,1746.34,2949.77,538.0,7.0,3141.43
173,49,Male,Postgraduate,West,3822.77,7244.54,691.0,10.0,14583.5
174,56,Female,Primary School,Central,459.44,555.06,419.0,10.0,500.0
175,66,Male,Secondary School,West,1258.45,2135.69,567.0,7.0,4007.31
176,69,Female,University,South,2141.94,4518.77,603.0,3.0,8120.96
177,49,Male,Secondary School,Central,1678.34,3338.09,625.0,6.0,7165.27
178,21,Female,Primary School,West,1082.35,3818.37,477.0,6.0,
179,47,Female,University,East,2040.63,2948.68,,9.0,5473.88
180,54,Male,Technical,Central,2131.35,2808.09,610.0,10.0,5362.65
181,40,Female,Secondary School,North,2241.08,5562.93,653.0,6.0,7794.12
182,56,Male,Primary School,West,943.38,1907.98,449.0,6.0,4635.67
183,62,Male,Technical,East,,3224.09,516.0,9.0,2107.35
184,32,Female,Primary School,East,,840.59,,3.0,1388.91
185,60,Male,University,East,1614.38,2515.39,477.0,8.0,2531.3
186,46,Female,Technical,Central,1610.61,3006.14,649.0,10.0,3483.74
187,53,Male,Technical,West,4533.74,8160.97,708.0,9.0,15556.26
188,30,Male,Secondary School,North,1257.64,2202.86,506.0,6.0,1871.71
189,49,Male,University,Central,1483.83,1404.08,584.0,5.0,6129.64
190,24,Male,Technical,North,1423.79,2471.11,539.0,7.0,2995.46
191,68,Male,University,North,5097.37,9448.23,694.0,12.0,19162.99
192,39,Female,Secondary School,South,1316.46,2099.9,563.0,8.0,3270.86
193,45,Female,University,North,1679.08,3806.35,582.0,10.0,5803.78
194,19,Female,Technical,North,789.04,2207.07,384.0,8.0,1637.48
195,59,Male,Primary School,Central,1067.98,,496.0,5.0,3502.16
196,62,Male,Secondary School,South,813.04,882.15,456.0,6.0,
197,74,Male,Secondary School,Central,1758.84,3452.2,568.0,9.0,6773.16
198,70,Male,Secondary School,Central,1310.43,2756.59,553.0,4.0,5966.5
199,23,Male,Secondary School,East,563.32,,337.0,17.0,3125.24
200,45,Male,Secondary School,Central,3191.7,5148.32,691.0,3.0,8229.23
201,45,Male,Technical,Central,4741.25,9209.75,678.0,7.0,19102.79
202,61,Male,Technical,West,2097.58,4118.43,632.0,7.0,5825.69
203,61,Male,Primary School,North,2487.15,4157.63,602.0,6.0,5066.99
204,37,Male,University,Central,2636.33,4869.69,613.0,5.0,5325.2
205,47,Male,Postgraduate,South,1388.63,1761.82,616.0,4.0,2730.28
206,28,Male,Secondary School,East,1301.29,832.76,485.0,3.0,1095.32
207,75,Male,Primary School,East,962.32,,481.0,7.0,1376.37
208,72,Male,Technical,North,972.7,1960.46,476.0,6.0,2701.03
209,45,Male,Technical,East,1813.25,3024.71,641.0,4.0,4686.37
210,42,Male,Technical,East,1287.93,2654.25,477.0,15.0,1177.55
211,56,Male,Technical,North,2014.23,4290.18,629.0,11.0,5597.78
212,50,Male,Primary School,North,,3331.99,504.0,3.0,5991.89
213,18,Male,University,East,4913.18,8328.69,645.0,3.0,16345.3
214,74,Female,Secondary School,Central,1572.19,3159.38,534.0,6.0,4757.9
215,44,Male,Secondary School,North,909.5,1326.63,472.0,4.0,500.0
216,74,Male,Primary School,Central,1002.48,1546.35,547.0,5.0,4717.79
217,69,Female,Secondary School,North,1308.57,3195.85,530.0,7.0,4574.52
218,30,Male,Technical,Central,,9362.88,720.0,8.0,16857.18
219,58,Male,Technical,Central,,2853.32,551.0,11.0,6704.02
220,20,Female,Postgraduate,Central,3972.08,6495.68,674.0,2.0,15023.6
221,56,Female,Primary School,West,2013.51,4733.75,636.0,8.0,5852.73
222,23,Male,Postgraduate,,5904.38,,741.0,11.0,20151.0
223,25,Male,Technical,Central,1909.72,2521.36,600.0,10.0,3954.61
224,44,Male,Secondary School,West,1287.55,,456.0,11.0,1933.52
225,26,Male,University,West,1864.58,1955.55,550.0,10.0,5306.38
226,54,Female,Technical,Central,1035.2,0.0,510.0,5.0,4264.04
227,50,Male,Secondary School,Central,2273.71,4856.34,601.0,8.0,7272.55
228,68,Male,University,South,8662.57,14888.68,742.0,4.0,32414.85
229,59,Female,Technical,West,3420.43,5181.67,631.0,4.0,9683.2
230,61,Female,Technical,North,1886.49,2943.22,627.0,5.0,3929.95
231,41,Male,University,Central,1344.32,,,5.0,6609.56
232,32,Female,Secondary School,East,1146.52,1588.29,546.0,9.0,
233,71,Male,Technical,Central,2282.51,3383.64,711.0,7.0,8027.27
234,49,Female,University,East,2088.91,3726.96,523.0,14.0,4490.49
235,49,Male,Secondary School,South,,2395.38,557.0,9.0,5222.02
236,41,Male,Primary School,North,1425.18,3921.19,533.0,7.0,4088.26
237,58,Male,University,Central,2726.42,4615.17,683.0,6.0,8926.72
238,69,Male,Primary School,South,3599.12,6445.03,714.0,8.0,11175.68
239,66,Male,Technical,East,5255.46,8727.72,711.0,5.0,17997.53
240,66,Female,University,East,2188.52,4457.42,614.0,2.0,4446.93
241,75,Female,Secondary School,East,2543.46,5910.59,673.0,10.0,9792.82
242,69,Male,Primary School,North,676.14,1140.03,487.0,9.0,2516.05
243,29,Male,Secondary School,,2233.45,3516.19,674.0,5.0,5647.93
244,56,Male,Technical,Central,2301.24,4286.64,624.0,5.0,6063.0
245,19,Female,Postgraduate,South,2100.86,4163.3,576.0,6.0,5827.56
246,20,Female,Secondary School,Central,,6655.66,,4.0,8838.44
247,66,Female,Primary School,East,792.93,1307.85,,5.0,2406.27
248,54,Female,Technical,South,1736.86,2853.58,536.0,8.0,4680.7
249,66,Male,University,South,2685.91,3910.4,641.0,5.0,9580.06
250,73,Male,Secondary School,West,744.64,1100.94,,7.0,500.0
251,34,Female,University,North,2539.61,4234.39,658.0,11.0,8723.72
252,66,Female,Secondary School,Central,1047.71,2323.2,455.0,10.0,4031.03
253,19,Male,University,Central,1903.88,3211.34,503.0,3.0,7825.46
254,19,Male,Secondary School,West,1371.49,1652.96,,10.0,2704.71
255,45,Female,Secondary School,North,704.01,,432.0,11.0,1367.03
256,71,Male,University,Central,2020.29,3298.68,586.0,6.0,6545.08
257,40,Male,Technical,West,1658.31,3589.49,608.0,,8605.77
258,54,Female,Secondary School,West,1302.88,2487.9,,7.0,2244.74
259,49,Male,University,West,1585.37,3229.68,583.0,6.0,4675.24
260,50,Male,Technical,Central,994.57,1801.14,474.0,11.0,500.0
261,18,Female,Secondary School,East,903.99,1945.19,454.0,,
262,36,Female,Technical,South,744.27,1057.51,432.0,6.0,3383.89
263,19,Female,University,South,1566.36,2130.48,605.0,6.0,4013.44
264,70,Male,Technical,Central,3303.57,5275.04,640.0,7.0,11241.92
265,61,Male,Secondary School,East,777.11,687.34,413.0,8.0,1891.9
266,43,Female,Technical,Central,2717.46,5902.66,624.0,5.0,7584.93
267,49,Female,Technical,Central,998.11,2578.51,561.0,9.0,5291.46
268,23,Male,University,South,2899.55,4877.7,631.0,5.0,8490.57
269,49,Female,Primary School,Central,3975.9,7290.27,678.0,6.0,14178.96
270,72,Male,Technical,Central,2488.18,5036.63,575.0,8.0,7243.36
271,21,Male,Primary School,Central,1055.77,1427.63,519.0,10.0,2251.03
272,72,Male,Technical,East,1773.78,3094.24,622.0,6.0,6064.75
273,28,Male,Postgraduate,Central,4788.35,,689.0,5.0,14096.8
274,73,Male,Primary School,East,,2040.24,,2.0,5456.29
275,34,Male,Secondary School,South,1665.17,3534.83,442.0,6.0,5889.63
276,55,Female,Technical,South,1495.95,2744.6,618.0,4.0,3654.9
277,41,Female,University,Central,2780.76,5028.43,,3.0,6419.7
278,22,Male,Secondary School,East,643.7,2068.52,411.0,12.0,500.0
279,69,Male,Technical,North,1449.53,2266.0,537.0,7.0,2964.04
280,51,Male,University,Central,5467.18,10412.44,804.0,1.0,24995.89
281,23,Male,University,South,,5499.19,664.0,6.0,11073.38
282,39,Female,Technical,West,1689.47,,,4.0,4720.78
283,28,Female,Secondary School,,,1028.37,480.0,10.0,633.84
284,65,Female,University,South,6214.49,10552.15,712.0,9.0,21395.69
285,33,Male,Secondary School,West,1114.07,3429.09,,6.0,1572.53
286,50,Male,Secondary School,West,990.76,767.03,528.0,,4524.25
287,26,Male,Secondary School,North,1571.98,2270.34,,6.0,3211.84
288,23,Male,Technical,South,1359.47,,,9.0,6241.32
289,33,Female,University,North,953.34,1297.35,531.0,5.0,
290,46,Female,Primary School,East,632.79,993.8,475.0,5.0,3039.74
291,20,Male,University,Central,2101.59,4459.77,572.0,5.0,6693.43
292,37,Female,University,East,1430.92,2174.09,562.0,9.0,5334.25
293,53,Male,Technical,West,915.15,716.16,518.0,5.0,
294,36,Male,University,West,1227.29,1805.19,491.0,10.0,
295,43,Female,Secondary School,West,1383.33,2700.4,523.0,6.0,5068.55
296,20,Male,Primary School,North,1083.95,2558.22,512.0,8.0,2270.64
297,36,Male,University,North,3464.1,,691.0,2.0,10570.87
298,37,Female,Secondary School,South,865.18,801.5,493.0,11.0,3363.8
299,49,Female,Secondary School,South,1400.29,2214.49,559.0,14.0,2799.7
300,24,Male,Technical,North,1284.58,2586.68,507.0,6.0,
301,69,Male,University,Central,3241.86,6473.25,,5.0,9920.4
302,58,Female,Technical,West,1872.44,2551.23,605.0,8.0,5606.53
303,50,Female,Secondary School,West,1779.27,2626.0,548.0,4.0,3240.97
304,57,Female,Secondary School,North,2690.53,3158.95,616.0,9.0,5561.71
305,56,Male,University,Central,2698.24,3212.73,562.0,5.0,7320.23
306,35,Female,Primary School,South,,2604.34,560.0,7.0,4615.06
307,57,Male,Secondary School,West,857.13,751.39,,,2957.21
308,18,Female,Secondary School,South,741.41,949.05,414.0,7.0,1550.6
309,28,Male,Technical,West,3178.25,5961.23,611.0,8.0,8542.65
310,45,Female,Secondary School,East,1712.75,3014.39,573.0,8.0,3371.03
311,74,Male,Secondary School,West,2086.71,,,5.0,7338.29
312,42,Male,Primary School,East,2032.5,4381.99,614.0,8.0,6340.13
313,67,Male,Primary School,West,896.16,,,8.0,2147.04
314,40,Male,Secondary School,East,1133.23,1880.09,552.0,6.0,3655.61
315,48,Female,Technical,Central,2637.07,5114.71,679.0,4.0,11047.53
316,47,Female,Technical,Central,1557.14,1288.44,550.0,7.0,5129.57
317,59,Female,Secondary School,West,1207.73,1967.97,,8.0,770.48
318,52,Male,Secondary School,North,864.32,2068.8,512.0,5.0,1959.76
319,24,Female,Secondary School,Central,2164.52,3779.31,537.0,5.0,4794.41
320,33,Female,Secondary School,East,1154.39,2260.2,509.0,7.0,2966.85
321,43,Male,Primary School,East,1788.25,3058.65,541.0,5.0,3655.29
322,65,Male,Primary School,North,1568.16,3308.6,531.0,10.0,3774.03
323,74,Female,Secondary School,Central,2987.25,6087.6,631.0,4.0,9154.43
324,69,Female,Postgraduate,Central,1625.46,1244.93,597.0,3.0,5579.31
325,66,Female,Secondary School,Central,,248.95,500.0,5.0,658.33
326,19,Male,University,West,5048.31,7467.81,730.0,7.0,
327,18,Female,Secondary School,,2254.37,888.61,524.0,1.0,6787.55
328,65,Male,Secondary School,West,989.53,2248.39,493.0,6.0,1714.05
329,29,Female,University,North,1616.63,,531.0,9.0,2834.59
330,22,Female,Primary School,Central,1178.03,1715.87,471.0,9.0,500.0
331,54,Male,Secondary School,East,1402.98,1972.02,537.0,7.0,6049.73
332,49,Female,Postgraduate,Central,2483.0,4329.39,592.0,8.0,5764.34
333,72,Male,Secondary School,Central,1085.91,4194.54,484.0,8.0,500.0
334,26,Female,Primary School,West,937.23,851.05,511.0,9.0,1908.45
335,58,Male,Primary School,West,1546.74,1704.52,566.0,5.0,5291.02
336,52,Male,University,South,2466.94,4920.15,686.0,7.0,6882.13
337,36,Male,University,South,1902.86,3947.72,532.0,,5423.19
338,65,Male,Secondary School,North,1161.85,2399.84,465.0,11.0,1621.28
339,33,Male,Primary School,West,,5630.66,632.0,3.0,10845.97
340,20,Female,University,East,1772.2,2939.27,546.0,11.0,6982.84
341,37,Female,Secondary School,North,1878.85,2182.23,606.0,10.0,7741.18
342,41,Female,Secondary School,North,4539.21,9658.67,,1.0,17376.54
343,71,Male,Technical,East,2598.87,6221.01,657.0,6.0,9016.43
344,73,Female,Secondary School,North,1971.48,3149.83,535.0,9.0,5007.35
345,50,Male,Technical,West,3190.03,6867.87,644.0,3.0,10195.48
346,41,Female,University,West,4483.31,8343.82,616.0,5.0,13240.5
347,69,Male,University,West,2498.79,3085.49,670.0,8.0,
348,28,Female,Secondary School,East,802.79,106.37,432.0,13.0,1131.46
349,66,Female,Secondary School,Central,,3248.54,553.0,2.0,6268.07
350,25,Male,Secondary School,North,,4419.91,517.0,,6001.44
351,53,Male,Secondary School,East,1313.32,2647.92,503.0,5.0,5221.71
352,55,Male,Secondary School,Central,1387.01,2700.57,531.0,8.0,5283.5
353,57,Male,Secondary School,South,3201.43,5058.98,652.0,8.0,8952.92
354,37,Female,Primary School,Central,1693.21,2147.78,569.0,5.0,5429.93
355,52,Female,Primary School,Central,1597.28,3489.05,,6.0,1928.7
356,65,Male,Secondary School,Central,984.64,1810.79,543.0,6.0,5749.0
357,42,Female,Technical,East,1612.79,2808.4,586.0,7.0,6306.61
358,52,Female,Technical,Central,2181.94,4931.14,609.0,10.0,5512.0
359,42,Female,Secondary School,Central,2013.01,4976.95,565.0,9.0,4815.63
360,46,Male,University,Central,,9369.31,694.0,6.0,17798.92
361,35,Male,University,North,3200.99,5016.48,648.0,4.0,8055.05
362,63,Male,Secondary School,West,,2249.47,543.0,5.0,4098.96
363,35,Female,Primary School,South,2760.95,4630.5,597.0,9.0,6731.03
364,19,Male,Technical,North,1517.6,2621.26,539.0,6.0,4597.69
365,71,Male,Secondary School,Central,2396.81,3352.95,658.0,6.0,5730.62
366,52,Female,Primary School,West,944.8,2703.2,531.0,7.0,1677.89
367,33,Female,Postgraduate,South,2286.46,3737.24,588.0,8.0,3478.98
368,58,Female,Secondary School,Central,841.65,2798.16,458.0,10.0,1177.48
369,53,Male,Technical,Central,1032.7,1757.08,509.0,10.0,3208.61
370,50,Male,Secondary School,Central,1231.47,1832.51,523.0,10.0,3848.95
371,21,Female,Primary School,North,2073.57,3196.73,515.0,9.0,4608.61
372,50,Male,Primary School,East,,1943.8,610.0,10.0,4910.42
373,31,Male,Technical,Central,792.04,1599.72,438.0,7.0,500.0
374,38,Male,Secondary School,East,2164.04,3850.74,580.0,8.0,4248.01
375,65,Male,Secondary School,Central,1565.99,3460.17,513.0,7.0,3950.61
376,37,Male,Postgraduate,North,6469.78,11027.05,770.0,5.0,26183.19
377,73,Female,Secondary School,East,1276.59,2483.3,510.0,6.0,1829.03
378,25,Female,Primary School,,772.36,2359.38,477.0,6.0,500.0
379,24,Female,Secondary School,East,,6788.98,670.0,7.0,9338.46
380,20,Male,Technical,East,2706.54,4289.48,598.0,5.0,9040.1
381,34,Male,Secondary School,West,684.41,,419.0,8.0,2005.09
382,50,Male,Primary School,North,1434.91,2085.39,557.0,8.0,2517.39
383,65,Female,Secondary School,North,727.69,619.41,386.0,6.0,3614.13
384,29,Male,Primary School,South,1798.56,3774.06,598.0,5.0,6860.41
385,68,Female,Technical,Central,1147.38,1166.22,512.0,10.0,2213.99
386,39,Female,Technical,Central,,3562.15,469.0,8.0,3653.79
387,72,Male,Primary School,North,2374.67,4461.07,600.0,10.0,8879.92
388,39,Male,Secondary School,South,1797.47,3092.41,565.0,7.0,4663.02
389,63,Female,Secondary School,North,2176.84,,591.0,7.0,6600.16
390,47,Female,Technical,East,1462.96,1582.95,,9.0,6064.93
391,55,Male,Secondary School,East,1484.5,2050.84,506.0,10.0,5467.81
